acceleration.x_mean,acceleration.x_std,acceleration.x_max,acceleration.x_min,acceleration.x_var,acceleration.x_freq_mean,acceleration.x_freq_max,acceleration.x_freq_min,acceleration.x_freq_var,acceleration.y_mean,acceleration.y_std,acceleration.y_max,acceleration.y_min,acceleration.y_var,acceleration.y_freq_mean,acceleration.y_freq_max,acceleration.y_freq_min,acceleration.y_freq_var,acceleration.z_mean,acceleration.z_std,acceleration.z_max,acceleration.z_min,acceleration.z_var,acceleration.z_freq_mean,acceleration.z_freq_max,acceleration.z_freq_min,acceleration.z_freq_var,rotationRate.alpha_mean,rotationRate.alpha_std,rotationRate.alpha_max,rotationRate.alpha_min,rotationRate.alpha_var,rotationRate.alpha_freq_mean,rotationRate.alpha_freq_max,rotationRate.alpha_freq_min,rotationRate.alpha_freq_var,rotationRate.beta_mean,rotationRate.beta_std,rotationRate.beta_max,rotationRate.beta_min,rotationRate.beta_var,rotationRate.beta_freq_mean,rotationRate.beta_freq_max,rotationRate.beta_freq_min,rotationRate.beta_freq_var,rotationRate.gamma_mean,rotationRate.gamma_std,rotationRate.gamma_max,rotationRate.gamma_min,rotationRate.gamma_var,rotationRate.gamma_freq_mean,rotationRate.gamma_freq_max,rotationRate.gamma_freq_min,rotationRate.gamma_freq_var
0.080333333,0.304578127,1.1,-1.1,0.092767835,5.619583431,57.8027825,0.336714524,27.86028207,7.245166667,0.165798434,7.9,6.5,0.027489121,10.34913073,4347.1,0.235991884,31404.82549,6.547166667,0.266978341,8.2,5.5,0.071277435,12.0975172,3928.3,0.435952424,25615.58008,0.312945756,1.039393419,4.452009869,-2.611012925,1.080338679,9.852848359,187.7674535,1.552332448,608.8052754,0.292033489,1.460075923,4.690184762,-7.032447872,2.131821701,10.88996108,253.4181784,0.578092402,1209.540082,-0.012432679,0.966218661,3.907640109,-3.412288128,0.933578502,11.51692892,133.8846121,3.294794982,426.6666136
0.681666667,0.465178683,1.9,-1.5,0.216391208,7.836495732,409,0.256770785,347.0093346,7.978,0.198784285,8.8,6.8,0.039515192,12.06811947,4786.8,0.101283325,38067.12049,5.5605,0.377218203,7.4,4.1,0.142293573,13.18446479,3336.3,0.259460508,18462.89989,0.150843496,1.816716557,21.01149328,-3.24293145,3.300459049,31.25096285,177.0513036,10.28944735,1014.004548,0.171671547,1.962241402,5.836904618,-19.13840079,3.850391319,29.07923615,263.3222483,10.15671698,1478.465097,0.183801572,1.430419299,8.757472321,-2.297087991,2.04609937,16.92818351,184.6713143,4.071005492,959.3199363
-0.004154144,0.013462407,0.096907733,-0.044357503,0.000181236,0.176487812,2.492486471,0.050896068,0.087766803,-0.056016091,0.01661748,0.010463073,-0.090951717,0.000276141,0.185303174,33.60965453,0.000736574,2.01375245,-0.027070355,0.018128158,0.027264688,-0.098193469,0.00032863,0.157606823,16.24221276,0.000159242,0.611691987,0.109653964,0.470627043,2.664401796,-1.083285494,0.221489813,4.137397037,70.16482506,0.591986887,122.7687391,-0.000180778,0.268895918,0.77903298,-0.80850131,0.072305015,1.910453496,46.27144253,0.090329949,39.66089091,0.0114008,0.375563585,1.480666556,-0.800802298,0.141048006,2.632727046,69.93896566,0.183094242,77.63449108
-0.005010169,0.01120102,0.022799718,-0.034957847,0.000125463,0.084254453,3.006101367,0.00217286,0.083114512,-0.056281233,0.011381169,-0.024189644,-0.099365313,0.000129531,0.136458403,33.76873982,0.000315538,1.959514498,-0.021214497,0.013969858,0.009464258,-0.094319525,0.000195157,0.198895939,12.72869821,0.051053802,0.347372333,0.025509118,0.434961898,1.525540369,-1.282811811,0.189191853,3.793652194,95.49223104,0.685439364,99.32455209,-0.004348333,0.213833212,0.603967376,-0.471931685,0.045724643,1.83730951,35.87286354,0.278434877,24.0246995,0.04560733,0.325077467,0.790572013,-1.804686646,0.10567536,4.187983383,50.80240942,1.268568577,47.00835277
0.000251274,0.026271706,0.078270406,-0.308753387,0.000690203,0.430763137,3.581962068,0.069622017,0.227912322,-0.056829835,0.013764529,-0.023391918,-0.107264092,0.000189462,0.16679972,34.09790093,0.005952855,2.02344383,-0.019870214,0.058349001,0.420419077,-0.245432973,0.003404606,0.72060177,11.92212838,0.182056075,1.75698731,-0.040223784,2.346002841,12.79055974,-13.90944747,5.503729329,23.70527299,339.0523457,4.827657497,2735.764672,-0.266406202,1.299149328,2.344782891,-14.14602358,1.687788977,18.43862567,173.8964718,5.95773736,713.5860391,-0.067260826,0.589494988,2.045863064,-1.839084593,0.347504341,5.23642888,119.9005066,1.00751847,183.4493241
-0.003433023,0.014616889,0.100598325,-0.042439825,0.000213653,0.187798263,2.123433601,0.053147543,0.099781612,-0.052800181,0.013015947,0.001682664,-0.099447012,0.000169415,0.221976872,31.68010846,0.054310324,1.72492124,-0.028121869,0.019493442,0.099190642,-0.198682988,0.000379994,0.393949625,16.8731215,0.16054126,0.546923972,0.047060279,0.353759306,1.279397806,-1.001509803,0.125145646,3.951183027,56.87368008,0.957192654,60.67919688,0.05576316,0.443213416,1.899231221,-0.99738598,0.196438132,4.46971536,80.04683397,0.96664455,99.55380365,0.060569535,0.298719606,1.093935828,-0.824068727,0.089233403,3.370828696,49.41230073,0.87076795,44.28952337
0.490666667,0.203178965,1.4,0.1,0.041281692,3.325829377,294.4,2.84E-14,158.118859,4.624,0.053185661,4.8,4.4,0.002828715,5.721744097,2774.4,0.073272105,12797.78164,8.609166667,0.093526561,9,8.2,0.008747218,10.60450329,5165.5,0.035394712,44363.43451,0.150863147,0.907815164,11.84900946,-2.335118015,0.824128372,16.53791693,105.4750973,4.334207623,233.8060121,0.116555849,0.509487136,2.088941078,-1.438204938,0.259577142,4.221833708,89.09628362,0.377285197,145.8139876,0.034621349,0.248366952,1.628904261,-0.781330872,0.061686143,2.626209584,41.63097753,0.580952653,30.77220535
0.744666667,0.4057659,2.4,-0.3,0.164645965,6.053925859,446.8,0.2,394.6899817,4.8685,0.209915517,5.5,4.1,0.044064524,7.965339078,2921.1,0.089462037,14184.32337,8.447666667,0.211113327,9.4,7,0.044568837,12.87979207,5068.6,0.021398831,42678.65096,0.194836533,1.833706615,20.71501061,-3.385978258,3.362479949,22.73543627,286.228101,5.0962945,1520.002192,-0.064337147,1.318496886,4.350521508,-8.364357126,1.738434038,14.8403175,171.8771076,3.748352299,823.5705265,0.060586405,0.740094935,5.408542827,-1.867770456,0.547740513,10.74460953,109.591661,3.627401176,214.8523609
