_id,timestamp,acceleration.x,acceleration.y,acceleration.z,rotationRate.alpha,rotationRate.beta,rotationRate.gamma,__v
67499e60a88c9300588bb537,2024-11-29T10:58:39.531Z,0,0.1,0.2,2,-0.8,-0.1,0
67499e60a88c9300588bb538,2024-11-29T10:58:39.548Z,0,0.1,0.1,1.1,-0.5,-0.2,0
67499e60a88c9300588bb539,2024-11-29T10:58:39.564Z,0,0.1,0,0.7,-1,-0.3,0
67499e60a88c9300588bb53a,2024-11-29T10:58:39.581Z,0,0.1,0,-0.2,-1.4,-0.3,0
67499e60a88c9300588bb53b,2024-11-29T10:58:39.598Z,-0.1,0.1,0.1,0.3,-1.4,-0.3,0
67499e60a88c9300588bb53c,2024-11-29T10:58:39.614Z,-0.1,0.1,0.1,0.4,-0.5,0,0
67499e60a88c9300588bb53d,2024-11-29T10:58:39.631Z,-0.1,0.1,0.1,1.3,0.2,0.4,0
67499e60a88c9300588bb53e,2024-11-29T10:58:39.648Z,0,0.1,0,0.9,0.1,0.3,0
67499e60a88c9300588bb53f,2024-11-29T10:58:39.665Z,0,0.1,0.1,0.3,-0.6,0,0
67499e60a88c9300588bb540,2024-11-29T10:58:39.681Z,0,0.1,0.1,0.2,-0.2,-0.3,0
67499e60a88c9300588bb541,2024-11-29T10:58:39.698Z,0,0.1,0.2,0.7,0.3,-0.4,0
67499e60a88c9300588bb542,2024-11-29T10:58:39.716Z,0,0.1,0.1,0.9,-0.2,-0.1,0
67499e60a88c9300588bb543,2024-11-29T10:58:39.731Z,-0.1,0.1,0.1,0.7,-0.8,0.5,0
67499e60a88c9300588bb544,2024-11-29T10:58:39.748Z,-0.1,0.1,0.1,1.3,0.1,0.4,0
67499e60a88c9300588bb545,2024-11-29T10:58:39.765Z,0,0.1,0,1.3,1.6,0.2,0
67499e60a88c9300588bb546,2024-11-29T10:58:39.781Z,0,0.1,0.1,1.5,2.6,-0.1,0
67499e60a88c9300588bb547,2024-11-29T10:58:39.799Z,0,0.1,0.1,1.3,1.6,-0.5,0
67499e60a88c9300588bb548,2024-11-29T10:58:39.814Z,0,0.1,0.1,1.5,0.7,-0.2,0
67499e60a88c9300588bb549,2024-11-29T10:58:39.831Z,0,0.1,0,0.8,-0.1,0.1,0
67499e60a88c9300588bb54a,2024-11-29T10:58:39.848Z,0,0.1,0,0.5,-0.3,0.4,0
67499e60a88c9300588bb54b,2024-11-29T10:58:39.864Z,0,0.1,0,0.6,-0.2,0.4,0
67499e60a88c9300588bb54c,2024-11-29T10:58:39.881Z,0,0.1,0.1,0.3,-0.1,0.3,0
67499e60a88c9300588bb54d,2024-11-29T10:58:39.898Z,-0.1,0.1,0.1,0.6,-0.2,0.1,0
67499e60a88c9300588bb54e,2024-11-29T10:58:39.914Z,0,0.1,0.1,0.1,-0.2,-0.3,0
67499e60a88c9300588bb54f,2024-11-29T10:58:39.931Z,0,0.1,0.2,0.5,0.1,-0.3,0
67499e60a88c9300588bb550,2024-11-29T10:58:39.948Z,-0.1,0.1,0.1,0,0.5,0,0
67499e60a88c9300588bb551,2024-11-29T10:58:39.964Z,0,0.1,0.1,1,-0.1,0.7,0
67499e60a88c9300588bb552,2024-11-29T10:58:39.981Z,0,0.1,0.1,0.1,-0.7,0.9,0
67499e60a88c9300588bb553,2024-11-29T10:58:39.998Z,0,0.1,0.1,-0.1,-1.2,0.5,0
67499e60a88c9300588bb554,2024-11-29T10:58:40.014Z,0,0.1,0.1,0.1,-0.6,-0.2,0
67499e60a88c9300588bb555,2024-11-29T10:58:40.031Z,0,0.1,0.1,0,0.2,-0.6,0
67499e60a88c9300588bb556,2024-11-29T10:58:40.048Z,-0.1,0.1,0.1,0.5,0.5,-0.3,0
67499e60a88c9300588bb557,2024-11-29T10:58:40.065Z,-0.1,0.1,0.3,1.3,-0.4,0.6,0
67499e60a88c9300588bb558,2024-11-29T10:58:40.081Z,0,0.1,0,1.8,2.4,1.3,0
67499e60a88c9300588bb559,2024-11-29T10:58:40.098Z,-0.5,-0.2,-1,-13,-9.3,2.6,0
67499e60a88c9300588bb55a,2024-11-29T10:58:40.114Z,-0.2,0.1,-0.8,-14.4,-16.3,3.1,0
67499e60a88c9300588bb55b,2024-11-29T10:58:40.131Z,0.2,0.2,0.4,-9.5,-10.1,1.4,0
67499e60a88c9300588bb55c,2024-11-29T10:58:40.147Z,0.3,0.1,0.4,-4.8,-1,-0.1,0
67499e60a88c9300588bb55d,2024-11-29T10:58:40.164Z,0.1,0.3,1,4.4,8.3,-1.4,0
67499e60a88c9300588bb55e,2024-11-29T10:58:40.181Z,0.3,0.3,1.2,16,22.4,-5.3,0
