_id,timestamp,acceleration.x,acceleration.y,acceleration.z,rotationRate.alpha,rotationRate.beta,rotationRate.gamma,__v
67499dbfa88c9300588bb00d,2024-11-29T10:55:58.792Z,0,0.2,0.1,2.6,-0.2,6.8,0
67499dbfa88c9300588bb00e,2024-11-29T10:55:58.809Z,0,0.2,0.1,3.2,0.3,5.5,0
67499dbfa88c9300588bb00f,2024-11-29T10:55:58.826Z,-0.1,0.3,0.2,5,3.9,5,0
67499dbfa88c9300588bb010,2024-11-29T10:55:58.842Z,-0.3,0.3,0.2,7,7,6,0
67499dbfa88c9300588bb011,2024-11-29T10:55:58.859Z,-0.3,0.3,0.1,9,10.7,7.8,0
67499dbfa88c9300588bb012,2024-11-29T10:55:58.876Z,-0.4,0.2,0,9.3,12.4,10.3,0
67499dbfa88c9300588bb013,2024-11-29T10:55:58.893Z,-0.3,0.1,0,8.4,11.3,12.2,0
67499dbfa88c9300588bb014,2024-11-29T10:55:58.910Z,-0.2,0.1,-0.2,6.5,9.3,13.6,0
67499dbfa88c9300588bb015,2024-11-29T10:55:58.926Z,-0.3,0.3,-0.4,3.9,7.2,15.6,0
67499dbfa88c9300588bb016,2024-11-29T10:55:58.943Z,-0.2,0.2,-0.5,0.6,9.7,17.7,0
67499dbfa88c9300588bb017,2024-11-29T10:55:58.959Z,0.1,-0.1,-0.6,-0.7,14,16.6,0
67499dbfa88c9300588bb018,2024-11-29T10:55:58.976Z,0.6,-0.2,-0.5,-0.2,17.9,14,0
67499dbfa88c9300588bb019,2024-11-29T10:55:58.993Z,0.8,-0.3,-0.3,2.5,20.5,11.5,0
67499dbfa88c9300588bb01a,2024-11-29T10:55:59.009Z,0.6,-0.3,-0.2,4.6,21.4,9.6,0
67499dbfa88c9300588bb01b,2024-11-29T10:55:59.026Z,0.6,-0.3,-0.1,5.8,19.8,6.5,0
67499dbfa88c9300588bb01c,2024-11-29T10:55:59.042Z,0.4,-0.2,0.2,6,18.3,5.2,0
67499dbfa88c9300588bb01d,2024-11-29T10:55:59.059Z,0.4,-0.1,0,4,17.3,4.7,0
67499dbfa88c9300588bb01e,2024-11-29T10:55:59.076Z,0.1,-0.1,0.2,2.9,15.4,6.1,0
67499dbfa88c9300588bb01f,2024-11-29T10:55:59.093Z,-0.3,0.1,0.2,1.9,13.4,9.7,0
67499dbfa88c9300588bb020,2024-11-29T10:55:59.109Z,-0.2,0.1,0.1,-0.2,11.6,10.5,0
67499dbfa88c9300588bb021,2024-11-29T10:55:59.126Z,0.3,-0.2,0.3,-1.4,9.3,6.9,0
67499dbfa88c9300588bb022,2024-11-29T10:55:59.143Z,-0.2,0.3,0.2,-2,8.5,3.3,0
67499dbfa88c9300588bb023,2024-11-29T10:55:59.159Z,-0.4,0.4,0.2,-3.3,9.7,5,0
67499dbfa88c9300588bb024,2024-11-29T10:55:59.176Z,-0.2,0.3,0.2,-4.3,10.1,6.5,0
67499dbfa88c9300588bb025,2024-11-29T10:55:59.192Z,0.1,0.1,0.2,-4.4,10.3,4.6,0
67499dbfa88c9300588bb026,2024-11-29T10:55:59.209Z,0.1,0,0.5,-2.2,9.2,-0.2,0
67499dbfa88c9300588bb027,2024-11-29T10:55:59.226Z,-0.1,0.1,0.4,1.6,7.8,-3.1,0
67499dbfa88c9300588bb028,2024-11-29T10:55:59.242Z,-0.5,0.3,0.2,3.9,8,-2.1,0
67499dbfa88c9300588bb029,2024-11-29T10:55:59.259Z,-0.2,0.2,0.1,4.3,7.7,0,0
67499dbfa88c9300588bb02a,2024-11-29T10:55:59.276Z,-0.3,0.2,0.1,2,6,1,0
67499dbfa88c9300588bb02b,2024-11-29T10:55:59.293Z,-0.3,0.2,0.4,0.9,2,3.4,0
67499dbfa88c9300588bb02c,2024-11-29T10:55:59.309Z,-0.1,0.2,0.4,1.5,1.2,4.2,0
67499dbfa88c9300588bb02d,2024-11-29T10:55:59.326Z,0.1,0.1,0.4,3,2.6,4.4,0
67499dbfa88c9300588bb02e,2024-11-29T10:55:59.343Z,0.3,0,0.3,5.8,5.6,0.9,0
67499dbfa88c9300588bb02f,2024-11-29T10:55:59.359Z,-0.1,0.2,0.3,8.3,6.4,0.1,0
67499dbfa88c9300588bb030,2024-11-29T10:55:59.376Z,-0.5,0.3,0,8.8,7.3,2.2,0
67499dbfa88c9300588bb031,2024-11-29T10:55:59.392Z,-0.2,0.2,-0.3,7.1,8.7,2.4,0
67499dbfa88c9300588bb032,2024-11-29T10:55:59.409Z,-0.1,0.1,-0.2,5.3,9.1,2.9,0
67499dbfa88c9300588bb033,2024-11-29T10:55:59.426Z,-0.1,0.1,-0.4,1.6,8.5,2.8,0
67499dbfa88c9300588bb034,2024-11-29T10:55:59.443Z,0,0.1,-0.3,-0.9,6,2.4,0
