_id,timestamp,acceleration.x,acceleration.y,acceleration.z,rotationRate.alpha,rotationRate.beta,rotationRate.gamma,__v
67499ceaa88c9300588ba97d,2024-11-29T10:52:26.169Z,0,0.1,0.2,2.7,1.4,0.8,0
67499ceaa88c9300588ba97e,2024-11-29T10:52:26.186Z,0,0.1,0,3.8,1.3,0.6,0
67499ceaa88c9300588ba97f,2024-11-29T10:52:26.202Z,0,0.2,-0.1,2.8,0.7,0.1,0
67499ceaa88c9300588ba980,2024-11-29T10:52:26.219Z,-0.1,0.2,-0.1,0.7,-1.3,-0.2,0
67499ceaa88c9300588ba981,2024-11-29T10:52:26.236Z,-0.1,0.2,0.1,-1,-2.3,0.3,0
67499ceaa88c9300588ba982,2024-11-29T10:52:26.253Z,-0.1,0.2,0.3,-0.5,-1.9,0.7,0
67499ceaa88c9300588ba983,2024-11-29T10:52:26.269Z,-0.1,0.1,0.2,1.6,-0.2,1.7,0
67499ceaa88c9300588ba984,2024-11-29T10:52:26.286Z,-0.2,0.2,0.1,2.2,-0.5,2.9,0
67499ceaa88c9300588ba985,2024-11-29T10:52:26.302Z,-0.2,0.2,0,1,-0.9,3.9,0
67499ceaa88c9300588ba986,2024-11-29T10:52:26.321Z,-0.2,0.2,0.1,-0.2,-2.3,4.8,0
67499ceaa88c9300588ba987,2024-11-29T10:52:26.336Z,-0.1,0.3,0,-1.9,-4.9,5.6,0
67499ceaa88c9300588ba988,2024-11-29T10:52:26.352Z,0,0.2,-0.2,-4,-6.6,5.4,0
67499ceaa88c9300588ba989,2024-11-29T10:52:26.369Z,0.1,0.2,-0.3,-5.9,-5.9,5,0
67499ceaa88c9300588ba98a,2024-11-29T10:52:26.386Z,0.1,0.1,-0.3,-7.6,-5.6,4.6,0
67499ceaa88c9300588ba98b,2024-11-29T10:52:26.402Z,0.1,0,-0.4,-10.1,-7,4,0
67499ceaa88c9300588ba98c,2024-11-29T10:52:26.419Z,0,-0.3,-0.6,-13.6,-7.3,3.7,0
67499ceaa88c9300588ba98d,2024-11-29T10:52:26.436Z,0.3,-0.1,-0.4,-16.8,-4,2.7,0
67499ceaa88c9300588ba98e,2024-11-29T10:52:26.452Z,0.4,-0.1,-0.1,-16.5,-1,2,0
67499ceaa88c9300588ba98f,2024-11-29T10:52:26.469Z,0.4,-0.1,0.2,-15.1,0.3,0.6,0
67499ceaa88c9300588ba990,2024-11-29T10:52:26.486Z,0.6,-0.1,0.9,-9.5,-0.5,-2.9,0
67499ceaa88c9300588ba991,2024-11-29T10:52:26.502Z,0.4,-0.1,1,-3.9,5.9,-5,0
67499ceaa88c9300588ba992,2024-11-29T10:52:26.519Z,0,-0.1,-0.8,-5.6,14.4,-3.8,0
