acceleration.x,acceleration.y,acceleration.z,rotationRate.alpha,rotationRate.beta,rotationRate.gamma,__v
0.00226752015684447,-0.0007306916071876563,-0.09819346942142747,0.0884864087675099,-0.13423006299132723,-0.5956844152182822,0
0.0012295592636624765,-0.0140434121807086,-0.09097741267683744,0.1450934890918625,-0.13681795868230945,-0.5135121597941655,0
0.00033895443076049144,-0.027011128348297008,-0.08393381792615379,0.19965321597740782,-0.13430774186132394,-0.432927659862423,0
-0.0003814904668277967,-0.03925390257852228,-0.07719008418239107,0.24933755792298656,-0.12570913192463665,-0.35581081183544694,0
-0.0009287405336684507,-0.050425889341508746,-0.07086058244588579,0.29157195497426314,-0.1104396316949926,-0.2840004677592069,0
-0.0013169645330068948,-0.06023369120711026,-0.06503943288368073,0.3241622873122809,-0.08837543503098445,-0.21924540264234071,0
-0.001574053624745979,-0.0684512530293338,-0.05979502066779519,0.3453969248275497,-0.059881036658763515,-0.16315335443473314,0
-0.0017375088092797207,-0.07493037831680781,-0.05516668546723709,0.35411836165882116,-0.02581527818799747,-0.11713833703493816,0
-0.0018499871264011278,-0.07960628261301624,-0.05116378719981538,0.34976106099268217,0.012487322543538284,-0.08236708401137888,0
-0.0019547912039399665,-0.08249796641295923,-0.047767095481669124,0.33235443896201455,0.053260272290335905,-0.059706662517373096,0
-0.0020915957892787634,-0.08370356417415417,-0.044932205517449746,0.3024923813944118,0.09437348539177791,-0.04967653862063284,0
-0.002292725421332981,-0.08339117540780142,-0.04259449015492373,0.2612732054105161,0.1334252208523524,-0.05240913377027937,0
-0.002580294745138525,-0.08178598088838561,-0.040674991862145536,0.21021628728282532,0.167855276026742,-0.067622878523572,0
-0.0029644578817474595,-0.07915466890391251,-0.03908665350272766,0.15116330140675283,0.19507556055639735,-0.09461103994330129,0
-0.0034428788459845328,-0.0757883271007196,-0.03774036923685182,0.0861727831321289,0.2126124765617212,-0.1322485732335237,0
-0.004001371025609278,-0.07198498813297534,-0.03655047191743398,0.017416331209647917,0.21825415072646284,-0.1790183132251066,0
-0.004615522158002561,-0.06803295559378313,-0.03543942003505009,-0.05291672437229931,0.21019478095148394,-0.23305706118452002,0
-0.005253062292299217,-0.06419589181566047,-0.03434157181557677,-0.12270157742338059,0.18716810858184355,-0.2922212979083752,0
-0.0058767391238436295,-0.06070043787280413,-0.033206016652205496,-0.18994491691210888,0.14856202785609385,-0.35417106720242975,0
-0.006447495825296078,-0.057726883488829935,-0.03199847046722202,-0.25283652912803783,0.09450645406432628,-0.4164689762743489,0
-0.006927757660274521,-0.055403145550082876,-0.030702242134982793,-0.3097870230885127,0.025926972200557095,-0.4766895371699292,0
-0.007284609570302666,-0.05380208539024107,-0.029318262131683166,-0.35945415578125456,-0.05544218665390489,-0.5325326569059293,0
-0.0074926081342994765,-0.05294201987201513,-0.02786415129083365,-0.40076065833522106,-0.1470904728838667,-0.5819342693132014,0
-0.0075359602062223955,-0.05279015850304644,-0.02637230917443905,-0.43290635388423077,-0.24581079203645795,-0.6231669064265822,0
-0.007409852431607295,-0.05326860831155646,-0.024887024603538484,-0.4553767405341465,-0.3478260049174719,-0.6549232499453274,0
-0.007120833150875093,-0.05426250753228608,-0.023460660335807234,-0.4679491872977175,-0.44895844156937076,-0.6763762139314484,0
-0.006686295381525427,-0.05562977024971447,-0.022149041224585074,-0.47069664973543535,-0.5448356625695112,-0.6872099021587462,0
-0.006133231628598322,-0.05721185839143879,-0.021006271117542667,-0.4639875815739937,-0.6311225612570341,-0.6876170711608278,0
-0.005496482659521161,-0.0588449651926988,-0.020079297361595774,-0.4484796755842008,-0.7037667650258574,-0.6782607915289879,0
-0.004816670037063132,-0.06037100694377758,-0.01940261160454527,-0.4251043216635077,-0.7592415134748737,-0.6602009743881042,0
-0.004137913060928868,-0.061647869443867735,-0.01899351237794225,-0.3950383358394808,-0.7947683179083623,-0.6347901422082596,0
-0.003505340417276001,-0.0625584192767691,-0.018848364188567796,-0.35965979035667495,-0.808501309832319,-0.6035467301558611,0
-0.0029623719837871035,-0.06301784642157181,-0.018940280489295625,-0.3204859340211731,-0.7996567308733659,-0.5680175214083943,0
-0.0025477938804051373,-0.06297895001615816,-0.019218635570059348,-0.27909342292943246,-0.7685748016795471,-0.5296427908824629,0
-0.0022927627392816665,-0.062435031333480724,-0.01961075364107886,-0.23702427887008923,-0.7167071655744074,-0.489637892493533,0
-0.0022180027669258294,-0.061420145657563284,-0.020025994979738254,-0.1956846414438766,-0.6465304701354853,-0.44890331779532694,0
-0.0023315441355761424,-0.06000660774456192,-0.020362229878079476,-0.15624663095028776,-0.5613939439974657,-0.40797198525677497,0
-0.0026273545333794363,-0.05829984290732298,-0.020514372874989598,-0.11956553081847382,-0.46531449270404385,-0.3669982482142282,0
-0.003085130291180857,-0.056430905698110746,-0.020384302341448807,-0.0861242393054875,-0.36273612865537086,-0.3257885075319472,0
-0.003671362443108733,-0.05454721616295803,-0.019891195386655285,-0.056014185195598955,-0.25827173530724223,-0.2838690038039369,0
-0.0043416142622490946,-0.05280225057506124,-0.018981133804692164,-0.028956954447351524,-0.15644490020919638,-0.24058279147504505,0
-0.005043776901548696,-0.051345032556156724,-0.0176348231596039,-0.0043647105869410304,-0.061448217155750794,-0.19520533436120133,0
-0.0057219390854670715,-0.05031027537397992,-0.015872424832766754,0.01856847322787225,0.023067855191448126,-0.14706677323882356,0
-0.006320440410120964,-0.04980992071840525,-0.013754812461279778,0.040756616090552006,0.09416460754752466,-0.09566877949341433,0
-0.006787689862474649,-0.049926621454242925,-0.01138098439456999,0.06310725880318925,0.14973569253623567,-0.04078496359173746,0
-0.0070794139854062415,-0.05070946374835842,-0.008881825507627651,0.0864155809934498,0.18857467147600834,0.017464168778483127,0
-0.007161122605000328,-0.052171965612129834,-0.006410838791864632,0.11127748742188759,0.21038854075819308,0.07856804339248774,0
-0.007009706992245892,-0.0542921713737428,-0.004132790467389388,0.1380278047816217,0.2157591912241125,0.14161794233644454,0
-0.0066141891566267276,-0.05701452017348659,-0.002211385934677101,0.16670554487462388,0.20605766105259407,0.20533425600318456,0
-0.0059757116551685495,-0.06025311508486329,-0.0007971067437009833,0.1970449165520935,0.1833189383435361,0.2681263708313844,0
-0.005106896387436347,-0.06389604659389209,-1.6216307555895355e-05,0.22848894940483608,0.15008760118024078,0.3281799785367338,0
-0.004030714486431091,-0.06781049932144396,3.8266592495280956e-05,0.26022218741971076,0.10924622869868697,0.383564680343873,0
-0.002779004619189148,-0.07184845682824748,-0.0006869291619693591,0.291219343340005,0.0638389061386621,0.4323536012442643,0
-0.0013907604763647161,-0.07585288486303039,-0.0022016621234146284,0.32030727916035884,0.016901257782126384,0.4727463418035063,0
8.971400644641078e-05,-0.07966429987025643,-0.0044716462686008466,0.34623762527713065,-0.028693439859471273,0.5031868545861113,0
0.0016147059465724516,-0.08312761082342807,-0.007420554507057904,0.36776668614844726,-0.07036497035151433,0.5224685311683762,0
0.0031349948880557876,-0.08609906334859962,-0.010934698052946761,0.3837383241297698,-0.10592926792603088,0.5298197457093535,0
0.004601710857437241,-0.08845303234741698,-0.014869891332377535,0.39316470450692464,-0.13367197076032916,0.5249642610016952,0
0.005968111146091876,-0.0900883295556472,-0.019060015303828746,0.3952994327285277,-0.15239269358532329,0.5081523003807348,0
0.007191235844404823,-0.09093364253389065,-0.02332673011056725,0.3896978055443404,-0.16142189460688028,0.48015975567000346,0
0.008233394381773604,-0.09095171722250175,-0.027489757033496053,0.37625954286443425,-0.16061318831409124,0.44225488370254235,0
0.009063425056870012,-0.09014193894578268,-0.031377140165872903,0.3552503250678352,-0.15031438105152117,0.396133820075644,0
0.009657661522574941,-0.0885410491415249,-0.03483490009290683,0.32729964544633794,-0.13132062028843525,0.3438281943709037,0
0.010000540456332667,-0.08622184672792983,-0.0377355035912339,0.2933739005058538,-0.10481308775249575,0.2875900010333312,0
0.010084799551958555,-0.08328985332097348,-0.039984606000468846,0.2547253157648982,-0.07228671860780789,0.2297606121368448,0
0.009911248306537364,-0.07987805981680156,-0.04152559489709152,0.21281922205383358,-0.03547044044053901,0.17263229824671367,0
0.009488142723926361,-0.07614000678406313,-0.042341589510117184,0.16924423021127089,0.0037566667624939626,0.11831164619517044,0
0.008830247184723193,-0.07224157062743768,-0.042454730764432104,0.1256117665157418,0.04345007737532913,0.0685945910561861,0
0.007957706517246541,-0.06835192084438663,-0.04192281745997562,0.0834529243753653,0.08168243290491661,0.02486225412247226,0
0.006894867359010276,-0.06463417498863949,-0.04083358042285236,0.0441213491998891,0.11662142338681997,-0.01199460814442692,0
0.0056691779808237105,-0.06123630726439719,-0.039297108598782035,0.008710669037628096,0.14660072303632668,-0.041616844150668145,0
0.0043102649481510606,-0.0582828657274914,-0.03743711564501558,-0.02200625269632889,0.17018225551292834,-0.06418072647643949,0
0.002849241360707219,-0.05586801987898648,-0.035381831522251786,-0.04761108320084562,0.18620851187085455,-0.0803640648941438,0
0.0013182530237468126,-0.054050391175481424,-0.03325530322123438,-0.06804431207060173,0.1938439458591279,-0.09127715257828492,0
-0.00024977714200176225,-0.05285001549145949,-0.03116979585802218,-0.08358039110115824,0.19260461429550252,-0.09836369594392648,0
-0.0018212840159592906,-0.05224765833083127,-0.029219822949977953,-0.09477666014806786,0.18237529873620795,-0.10327907448181059,0
-0.0033621773441942586,-0.052186560689568603,-0.027478135334101924,-0.10240118085176789,0.16341344812673225,-0.10775489338995445,0
-0.004838053504914142,-0.052576541249482286,-0.025993793519114586,-0.10734622967919516,0.13633948862602227,-0.11345973044407426,0
-0.006214607356734274,-0.053300223499706964,-0.024792261042788404,-0.11053522990608601,0.10211337443359829,-0.12186620275804427,0
-0.007458325771107123,-0.0542210044380458,-0.023877298001119752,-0.11283132396779388,0.06199769140435561,-0.1341339787086556,0
-0.008537505939810305,-0.05519225082125535,-0.023234308438910674,-0.11495561852630053,0.017508131379679034,-0.15101713808560077,0
-0.009423591787997872,-0.056067117834738736,-0.02283470579844457,-0.11742239425407866,-0.02964734662879101,-0.1728023902994175,0
-0.010092765810762025,-0.056708348604318344,-0.022640810184711348,-0.12049727308009414,-0.07763891557031367,-0.19928223883645607,0
-0.010527677799715704,-0.056997435550101484,-0.022610780073111243,-0.1241824781596086,-0.12459267038926275,-0.22976446103221623,0
