acceleration.x,acceleration.y,acceleration.z,rotationRate.alpha,rotationRate.beta,rotationRate.gamma,__v
-0.000489324820664394,-0.09798669890779414,0.09950296482340945,1.5631332570547378,0.22942902187752257,-1.7686918339157554,0
0.003921475656898344,-0.09903656082245456,0.06627457803422969,1.326551393914307,0.1350760618212401,-1.5073064146053414,0
0.008047750810146564,-0.09988261737393285,0.034365430914189775,1.0950874422736268,0.04365858981653125,-1.2549365041683747,0
0.011676690275106776,-0.10040219544708971,0.004712456286986538,0.8737527831238248,-0.04214037231932392,-1.018938566869007,0
0.014618518572071946,-0.10050088125192544,-0.021869953910389213,0.6672878303353348,-0.12010366532601123,-0.8057478082219204,0
0.01671299319294824,-0.10011649684193104,-0.044726742374023,0.47995758558659535,-0.18859424119140356,-0.6204943494880943,0
0.01783544008992707,-0.09922133798554666,-0.06339001369469405,0.3153696059151945,-0.24661894622800634,-0.46671127170498466,0
0.017902048620658372,-0.09782258389937426,-0.07759643282884551,0.17632254539601055,-0.293837868740492,-0.3461528075630671,0
0.016874054195569508,-0.09596086681698834,-0.08729338051038446,0.06469095221051134,-0.3305209453741064,-0.25873190035634774,0
0.014760417549684886,-0.0937070709116499,-0.09263369808439847,-0.018649941917661346,-0.35745863446598364,-0.20257777138238353,0
0.011618651468843184,-0.09115751518442462,-0.09395948361967153,-0.07385693397188654,-0.3758375144057109,-0.17420656815947966,0
0.007553524445288339,-0.08842776210023537,-0.09177601081884333,-0.1021073538247324,-0.38709439370645454,-0.16879160202145463,0
0.002713470654536437,-0.08564538010127878,-0.08671741968366256,-0.1055425751294493,-0.39276379492192953,-0.18051388046983183,0
-0.002715343766099176,-0.08294206886522922,-0.07950633701054748,-0.0871673023378386,-0.3943334034722908,-0.20296850160434765,0
-0.008517199413589327,-0.08044562425432004,-0.0709099715709293,-0.050707715900928506,-0.3931202672259814,-0.22959833469466387,0
-0.014456967378714306,-0.07827226571595454,-0.06169544130658009,-0.0004343030053904421,-0.3901774379587537,-0.2541240188968083,0
-0.020291734602733542,-0.07651986021481265,-0.05258709869780618,0.05904220220003692,-0.38623686088084525,-0.2709395462550065,0
-0.025783232350791625,-0.0752625396242956,-0.04422842695870931,0.12299140521517152,-0.3816902572288881,-0.275446066756339,0
-0.030710248239781055,-0.07454711086258546,-0.03715070835353506,0.18678891756156535,-0.376606027228879,-0.2643028228244595,0
-0.034880154027047375,-0.0743914977291577,-0.03175015097179012,0.24613532672739527,-0.3707771240197567,-0.23558225997736812,0
-0.03813873651656749,-0.07478524671198201,-0.028274539907901183,0.2972569265819618,-0.3637925203791269,-0.18882492038398127,0
-0.04037765536868474,-0.0756919119923649,-0.026819799175335984,0.3370773880371257,-0.35512336441836606,-0.12499740385354632,0
-0.041539031933192264,-0.0770529515172507,-0.02733616945115584,0.36335082902549587,-0.3442143026739254,-0.0463627400244032,0
-0.04161686878968989,-0.07879265033004929,-0.029643085694630856,0.3747486332381898,-0.33057085305409234,0.04372317066314499,0
-0.04065520175660427,-0.08082355173605227,-0.033451328933710854,0.37089478730865083,-0.313835113463592,0.14107260325212437,0
-0.03874309759975415,-0.08305191337928779,-0.03839065586008055,0.3523472818558759,-0.2938442295472017,0.24096656010947032,0
-0.03600682832375638,-0.0853827945436194,-0.044040879770657154,0.3205261209192276,-0.27066844916079275,0.33847631149154395,0
-0.03259975800682164,-0.08772450026879934,-0.04996427122451155,0.2775916660717178,-0.24462776379573398,0.4287876152916341,0
-0.02869064373914129,-0.08999223519547807,-0.055737151046410235,0.22628035589698645,-0.21628775211478563,0.5075099728162716,0
-0.024451159855360647,-0.09211093545733473,-0.06097865896841554,0.16970809199725218,-0.18643626451050485,0.5709542022795491,0
-0.02004350434889539,-0.09401733363011561,-0.06537490458524749,0.11115439448591677,-0.15604325214493403,0.6163628139123694,0
-0.015608951601148587,-0.09566135890825396,-0.06869704481125721,0.053842350459006344,-0.12620667905118738,0.6420794208236728,0
-0.011258187472035332,-0.09700698162799255,-0.07081226927430999,0.0007300312714261366,-0.0980882641662373,0.6476461002215709,0
-0.007064197083796391,-0.09803258893277268,-0.07168718259798484,-0.04567174168879416,-0.07284370165556979,0.6338214717448561,0
-0.0030583546986580217,-0.09873094423448427,-0.07138361367455136,-0.08344258105523526,-0.05155266291801453,0.6025171870516618,0
0.0007698252704736326,-0.09910875222253229,-0.07004741988923062,-0.11134724344911211,-0.03515390622159006,0.5566561022909066,0
0.004469072657859776,-0.09918583094922409,-0.0678913542061237,-0.1288764276787113,-0.02439005124397387,0.49996107936981216,0
0.00811897746740001,-0.09899388404585469,-0.06517349254460415,-0.13623254784193262,-0.019765216373486664,0.43668865815391245,0
0.011819252108055853,-0.09857486792419858,-0.06217304654432947,-0.13426374146822614,-0.021517216659309505,0.37132640045239185,0
0.015676372069667783,-0.09797895923497378,-0.05916558211534578,-0.12435353285485837,-0.029604818342824444,0.30827616587560025,0
0.019788622201074843,-0.09726214555273067,-0.05639970008510394,-0.10827718226802488,-0.04370983488387922,0.2515474821186701,0
0.02423081796905041,-0.0964834860226777,-0.05407709523824832,-0.08803838239614722,-0.06325349770074482,0.20448504594286196,0
0.029040121221246117,-0.09570211717710475,-0.05233759676234608,-0.06570119923079303,-0.08742619910604972,0.16955196862940894,0
0.03420439295257409,-0.09497411056592332,-0.05125033248533123,-0.04323177041862748,-0.11522907929845287,0.14818578390670134,0
0.03965440416024052,-0.09434932094670395,-0.05081159610883477,-0.022362357026773486,-0.14552497758249103,0.14073798953023509,0
0.04526096437685607,-0.09386839356015138,-0.050949385444657894,-0.004487277519091639,-0.17709526165200687,0.14650074410660008,0
0.05083764634116233,-0.09356012274376678,-0.05153397726075719,0.009403430668499366,-0.20869836935383598,0.1638170251567785,0
0.05614931458171234,-0.09343936731997235,-0.05239336589926464,0.018750572525879743,-0.23912577010044037,0.190263642097751,0
0.06092614194643259,-0.0935057256380421,-0.05333196872531016,0.023414081341993378,-0.2672514438947598,0.222890389935499,0
0.06488226351816324,-0.093743149147953,-0.05415073273150803,0.023627635742596534,-0.29207172154430744,0.25849367356934844,0
0.06773771971931687,-0.09412062269360447,-0.05466669029698539,0.01992675960437202,-0.3127333470556733,0.2938995450043198,0
0.06924193210812384,-0.09459396040301912,-0.054730118749218126,0.013059427824977805,-0.3285489852483166,0.3262297953238206,0
0.06919668941179,-0.09510866382996802,-0.05423775091015087,0.0038892563438380416,-0.3390011980959715,0.3531260439684509,0
0.06747654290836896,-0.09560367893754661,-0.053140935483112356,-0.006698534961520321,-0.3437380270637832,0.3729109366526713,0
0.06404464560202218,-0.09601579024195608,-0.05144820910835304,-0.017879089442308302,-0.3425652589481793,0.3846723577034147,0
0.058962417044981744,-0.09628431958195169,-0.04922235057741784,-0.028950361004984604,-0.33544147866741103,0.3882651407982447,0
