acceleration.x,acceleration.y,acceleration.z,rotationRate.alpha,rotationRate.beta,rotationRate.gamma,__v
-0.0014021946848749199,-0.0007229176862913459,-0.0009243370170318521,0.21709224248155343,0.19523957088663038,-0.22888273263928835,0
-0.01083166025428923,-0.005538998810581047,-0.012678919053556332,-0.10983390302727336,0.36589758281669105,-0.3077281685490204,0
-0.02007259106579647,-0.010370066119982667,-0.023300868905831783,-0.4187985684658177,0.5272477601196333,-0.3730152168812217,0
-0.02884460689029991,-0.0151407047571867,-0.032208276279035074,-0.6982642825518791,0.6708937669470911,-0.4157626661023661,0
-0.03686490508270726,-0.019754370380468535,-0.038926332974017694,-0.9381552250299401,0.7898616671926255,-0.4283872495687598,0
-0.04385685917440334,-0.024091966897002,-0.04311076734728576,-1.130380262987411,0.8791324115385283,-0.40516318095475723,0
-0.04956015879528536,-0.028013637022854875,-0.04456537370969543,-1.2692449745335779,0.9359954938154864,-0.34257425737989705,0
-0.05374223132247121,-0.03136400704144546,-0.04325260742669462,-1.3517270140044029,0.9601927197910625,-0.23953623791376244,0
-0.0562104169292903,-0.03398070496622469,-0.0392963332952548,-1.377598842839731,0.9538420351571303,-0.09747541477804689,0
-0.05682411790976161,-0.03570554042305336,-0.03297600491306719,-1.3493927207330538,0.9211540127827857,0.07974164607899793,0
-0.05550595032150949,-0.0363973620664871,-0.024711875390029604,-1.2722135101853946,0.8679749694732078,0.28602298982571334,0
-0.052250828111203004,-0.03594535391456252,-0.015041339494084895,-1.1534139871031461,0.8012076829765855,0.5133976911803052,0
-0.04713193415852206,-0.034281427804746106,-0.004587182418483053,-1.002154322552,0.7281709298976942,0.7524724987269924,0
-0.04030269185764458,-0.031390418102573564,0.005980704309212994,-0.8288723608460631,0.6559615009478812,0.9929701845608592,0
-0.03199413993963411,-0.027316974369275066,0.01598780713450576,-0.6446947975968061,0.5908773591828216,1.2243154215827434,0
-0.022507505524077175,-0.02216835921238465,0.024798734429961965,-0.46082168397827444,0.537949740743407,1.436230683095697,0
