acceleration.x_mean,acceleration.x_std,acceleration.x_max,acceleration.x_min,acceleration.x_var,acceleration.x_freq_mean,acceleration.x_freq_max,acceleration.x_freq_min,acceleration.x_freq_var,acceleration.y_mean,acceleration.y_std,acceleration.y_max,acceleration.y_min,acceleration.y_var,acceleration.y_freq_mean,acceleration.y_freq_max,acceleration.y_freq_min,acceleration.y_freq_var,acceleration.z_mean,acceleration.z_std,acceleration.z_max,acceleration.z_min,acceleration.z_var,acceleration.z_freq_mean,acceleration.z_freq_max,acceleration.z_freq_min,acceleration.z_freq_var,rotationRate.alpha_mean,rotationRate.alpha_std,rotationRate.alpha_max,rotationRate.alpha_min,rotationRate.alpha_var,rotationRate.alpha_freq_mean,rotationRate.alpha_freq_max,rotationRate.alpha_freq_min,rotationRate.alpha_freq_var,rotationRate.beta_mean,rotationRate.beta_std,rotationRate.beta_max,rotationRate.beta_min,rotationRate.beta_var,rotationRate.beta_freq_mean,rotationRate.beta_freq_max,rotationRate.beta_freq_min,rotationRate.beta_freq_var,rotationRate.gamma_mean,rotationRate.gamma_std,rotationRate.gamma_max,rotationRate.gamma_min,rotationRate.gamma_var,rotationRate.gamma_freq_mean,rotationRate.gamma_freq_max,rotationRate.gamma_freq_min,rotationRate.gamma_freq_var
0.4655,0.267729743,1,-0.9,0.071679215,3.552945815,279.3,0.043961244,160.326576,7.470333333,0.121975485,7.8,7,0.014878019,8.877476397,4482.2,0.088797767,33413.63041,6.196833333,0.194086118,7.8,5.6,0.037669421,9.416406494,3718.1,0.232279301,22974.34129,-0.176519657,0.650728627,2.403342977,-2.373898712,0.423447746,4.87800513,105.9117943,0.212590639,248.5457793,-0.002300699,0.608038727,2.795702715,-1.034198896,0.369711093,5.607087019,87.52042832,1.02296866,190.0206959,0.116769706,0.411823431,2.290650697,-0.826428373,0.169598539,3.17862754,70.06182372,0.179710519,99.66695015
0.5775,0.199691958,1.3,-0.1,0.039876878,3.928228544,346.5,0.191215419,208.5590205,8.178666667,0.084597972,8.4,7.8,0.007156817,9.590425632,4907.2,0.07005497,40046.66374,5.231,0.146314775,6,4.8,0.021408013,8.016619353,3138.6,0,16366.57381,-0.077813323,0.739283568,1.36541632,-6.314885866,0.546540194,10.47511706,91.48168619,3.44982926,221.282447,-0.131479383,0.612126091,2.058126712,-1.538764984,0.374698351,6.356069454,99.61871783,1.299964255,194.4167904,0.085026845,0.405436451,1.285526671,-1.679659502,0.164378716,4.416199348,62.25948551,1.01157539,83.29777287
-0.005695809,0.038960194,0.178521334,-0.101429056,0.001517897,0.258029902,7.592225526,0.004901204,0.862106056,-0.08163599,0.014088127,-0.048303289,-0.123830911,0.000198475,0.175631118,48.98159402,0.003869483,4.086701348,-0.038878873,0.021731682,0.099502965,-0.093959484,0.000472266,0.282973199,23.3273239,0.054839364,1.109753572,0.073719796,0.422207027,2.590468565,-0.535522721,0.178258774,4.091703574,63.22709312,0.690228122,93.29573237,-0.007242621,0.562460644,3.266933422,-2.247865136,0.316361976,4.736049375,79.35307052,0.541570458,167.1021332,0.137861539,0.94464212,5.33057817,-1.808134348,0.892348735,7.028603729,148.8598825,0.413306134,496.5191043
-0.008791132,0.028818153,0.105325299,-0.076764315,0.000830486,0.285923248,6.040099255,0.055819187,0.462079377,-0.076738182,0.016656708,-0.025532944,-0.106324466,0.000277446,0.192724334,46.04290898,0.001094447,3.662296557,-0.046145902,0.023331519,0.015093848,-0.111684914,0.00054436,0.288838671,27.68754093,0.055086877,1.52031027,-0.013329219,0.405041133,1.112903087,-1.790224634,0.164058319,3.801102196,69.20958284,0.770586183,83.92915605,-0.236896942,0.376410426,1.093124848,-1.301546803,0.141684809,3.748539143,142.1381652,0.789220447,104.4897513,-0.053500018,0.518845039,1.14837689,-1.526581481,0.269200175,4.702268253,84.50589738,0.808456786,140.856929
-0.008748077,0.026324881,0.048985213,-0.099316805,0.000692999,0.192048162,5.248846225,0.000100087,0.424141444,-0.078421534,0.015960689,0.001534139,-0.108559298,0.000254744,0.272122317,47.05292044,0.055235779,3.768503063,-0.048030926,0.024120718,0.028425559,-0.201105397,0.000581809,0.37800221,28.81855584,0.109246667,1.58979987,-0.063158013,0.324111572,0.674492673,-0.868759268,0.105048311,2.9941397,44.79838647,0.437888784,56.35242653,-0.050973048,0.29127959,0.858121615,-0.787310464,0.0848438,2.279770427,50.11042303,0.233926038,47.18303382,-0.036233113,0.441326139,1.355629468,-1.730098454,0.194768761,3.584982171,77.23709687,0.504643837,104.6020938
-0.002310556,0.046054487,0.172529195,-0.145336662,0.002121016,0.326841133,9.402244311,0.003832758,1.166866545,-0.076889059,0.022108953,-0.001657091,-0.127033292,0.000488806,0.253990347,46.13343545,0.002569362,3.775440021,-0.047959948,0.033128804,0.118855793,-0.108872651,0.001097518,0.286027522,28.77596851,0.002579138,1.955695286,-0.118983878,0.457590082,1.134951424,-2.400791114,0.209388683,5.993491398,71.39032687,1.779493651,97.99617978,-0.070037257,0.380325056,1.368543599,-1.153849114,0.144647148,2.625132205,52.87129306,0.01244403,82.69545303,0.139308411,0.884015727,4.39751418,-1.485239753,0.781483806,6.158007333,171.4243484,0.290632533,441.8318454
0.399,0.280231838,1.2,-0.4,0.078529883,3.278680383,239.4,0.060522766,131.8102549,8.2465,0.100521595,8.5,7.9,0.010104591,9.765242431,4947.9,0.08832253,40713.55004,5.130333333,0.175683418,5.9,4.6,0.030864663,7.89594016,3078.2,0.134093556,15748.33413,0.088963061,0.475755943,1.488669725,-0.871124305,0.226343717,4.402172782,67.69788633,0.455330844,120.9494171,0.091342487,0.744434096,4.470484147,-2.12668022,0.554182123,6.175347022,99.71443719,0.677726687,298.8262507,0.003117967,0.485347389,1.706323167,-1.992000268,0.235562088,5.400480184,66.88129363,1.274283579,111.9423378
0.773833333,0.213482075,1.4,0.2,0.045574597,3.616038472,464.3,0.084672411,373.5142658,7.793,0.104734341,8,7.5,0.010969282,9.122445305,4675.8,0.026429082,36361.86099,5.756,0.176207496,6.3,5.3,0.031049082,8.401070762,3453.6,0.115853795,19826.94201,-0.033983795,0.63952083,1.094026034,-3.364118806,0.408986892,7.864062449,119.4542948,2.302387563,183.832609,-0.069339385,0.508128102,1.249738845,-1.768696491,0.258194168,4.866796063,81.66621072,0.971242578,133.8573732,0.156599963,0.274678099,1.212843836,-0.360467327,0.075448058,2.211397865,93.95997772,0.119161066,55.01723514
