acceleration.x,acceleration.y,acceleration.z,rotationRate.alpha,rotationRate.beta,rotationRate.gamma,__v
-0.09691010848567598,-0.0016570909252776906,-0.001010929881793504,-2.133451378415345,0.34113279486746334,0.3265182011382862,0
-0.07160390471257855,-0.020828049726045964,-0.0038821453992931485,-1.7752016659655143,0.24602962897310238,0.24801473607920654,0
-0.04725801515117348,-0.03929312607206689,-0.00717436604038326,-1.4320535729386132,0.14576384557510527,0.15968340502967582,0
-0.02465161114494111,-0.05646510460515283,-0.01095381837577169,-1.1137432790521067,0.03909195062410097,0.05950506498910478,0
-0.004491278668364167,-0.07181317681491245,-0.015241242343937948,-0.8287403155901014,-0.07456004740271933,-0.053298057520480495,0
0.012620724249953717,-0.08488661414003897,-0.0200114338558446,-0.5838053245530376,-0.19491565197512517,-0.17806486318746156,0
0.02621353213912147,-0.09533438211040346,-0.025195095244862773,-0.38365531886122145,-0.32074526250681046,-0.3126055953522838,0
0.03596855311807459,-0.10291968050305457,-0.030682923387964862,-0.23075589360158277,-0.4498550585324796,-0.4532316617122741,0
0.04173295456363083,-0.10752871978331614,-0.036331836203701985,-0.1252492540717291,-0.5791712735628807,-0.5949067188895142,0
0.04352497342649159,-0.10917340239188529,-0.0419732065715524,-0.065016980521546,-0.7049138531850244,-0.7315104337525918,0
0.0415307918112306,-0.10798792900318639,-0.04742291242323453,-0.04586807148701268,-0.8228444112497088,-0.8561973510722535,0
0.036093244650572696,-0.10421966545925146,-0.05249290209128055,-0.06183634869001175,-0.9285663771729162,-0.9618263321388372,0
0.027693083002962176,-0.09821487259116658,-0.057003813523994216,-0.10556661894306123,-1.0178508311730485,-1.0414311667890093,0
0.016923873203853673,-0.09040011805114781,-0.0607979959988589,-0.16876565783383984,-1.0869596365301883,-1.0886999264434802,0
0.004461883011294768,-0.08126036160584099,-0.0637521008949446,-0.2426917320767824,-1.1329377648562522,-1.098429303365267,0
-0.008967483313154534,-0.07131483809221403,-0.06578827675803947,-0.318654923007831,-1.1538491136967646,-1.066920851304277,0
-0.0226249823117726,-0.06109195697365824,-0.0668829600105426,-0.38850017985684393,-1.1489348704653004,-0.9922891523428397,0
-0.03579275471382339,-0.051104490006683344,-0.06707231679838224,-0.44504615899934563,-1.11868058889667,-0.8746576892174218,0
-0.047807667132508044,-0.04182631816665882,-0.06645356550376545,-0.48245568762194035,-1.0647868704629901,-0.7162263421563858,0
-0.05809105604945555,-0.033671940554450684,-0.0651816832828836,-0.49651807346576526,-0.990047511186875,-0.5212042745476267,0
-0.06617334327971292,-0.026979798948316022,-0.06346135797922438,-0.48482925129560167,-0.8981469209725532,-0.29561257155058235,0
-0.07171226933829863,-0.022000240978077117,-0.061534463001257825,-0.4468626013680365,-0.7933949825457199,-0.046971265852195535,0
-0.07450385335709295,-0.01888864769754734,-0.059663761152840854,-0.3839306834670272,-0.6804222407138709,0.21610574718134454,0
-0.07448561690501451,-0.017703915175361015,-0.058113922517190955,-0.2990452644105618,-0.5638612373136764,0.48437782469825175,0
-0.07173207510099432,-0.01841213639185773,-0.05713122007110453,-0.19668889409033807,-0.44804043819410133,0.7484729093698907,0
-0.06644296843631434,-0.020895008786590504,-0.05692342749075839,-0.08251527005767037,-0.33671517413266916,0.9993765404790022,0
-0.05892515044706746,-0.024962218843071055,-0.05764149828588915,0.03700220535652087,-0.2328556362801594,1.2288820742487871,0
-0.049569430275563396,-0.030366845982232524,-0.059364564312321594,0.1549533325405557,-0.13850612330889384,1.4299740388686137,0
-0.038823969299800615,-0.03682269256172529,-0.062089641726685976,0.2643848742008116,-0.054723377064271335,1.5971226607915385,0
-0.02716602666274661,-0.04402238492383294,-0.06572714753399926,0.358684848252127,0.018404463850208146,1.7264748253014754,0
-0.015073924208800996,-0.05165509918640525,-0.07010290292590526,0.43193816803922497,0.0816628046694904,1.815934562095019,0
-0.003001044116984644,-0.05942284549979084,-0.07496676349383155,0.4792366812020634,0.13654957867125755,1.8651341269572115,0
0.00864652711631454,-0.06705439872557666,-0.08000743750450862,0.49692992864198876,0.18506336343159685,1.8753043960360651,0
0.019527432307871375,-0.07431618732949857,-0.08487250783021592,0.48280681832988537,0.2294594755369129,1.849060004037531,0
0.029376722661788528,-0.08101972588693167,-0.08919222439886539,0.4362023253528218,0.27199494474009783,1.7901198136193583,0
